1, 1001, John, Doe, 123 Elm Street, 12345, 1234567890, 1995-05-14
2, 1002, Jane, Smith, 456 Oak Avenue, 54321, 0987654321, 1996-03-22
3, 1003, Michael, Brown, 789 Pine Road, 67890, 1234509876, 1997-08-09
4, 1004, Emily, Davis, 321 Maple Drive, 98765, 8765432109, 1998-11-17
5, 1005, David, Wilson, 654 Cedar Lane, 11111, 2345678901, 1999-12-30
6, 1006, Linda, Johnson, 987 Birch Blvd, 22222, 3456789012, 2000-07-19
7, 1007, Robert, Martinez, 147 Ash Court, 33333, 4567890123, 2001-01-01
8, 1008, Sarah, Lewis, 369 Redwood Street, 44444, 5678901234, 2002-04-10
9, 1009, William, Clark, 258 Willow Way, 55555, 6789012345, 2003-09-23
10, 1010, Maria, Walker, 852 Walnut Circle, 66666, 7890123456, 2004-06-18
